method,time_S_BA,time_nDTW,freq_MSC_mean,freq_Delta_f_peak_Hz,nl_XSampEn,nl_PLV,BA_bias,BA_sd,BA_loa_width,S_time,S_freq,S_nl,TDSI,mm_z_mean,mm_z_std,ecg_z_mean,ecg_z_std,f0_Hz,file_index,mmwave_file,ecg_file
帶通+小波+NLMS,0.6216756454141108,0.24437644959235483,0.3152049032589652,0.08679687499999988,1.4400104307688664,0.2692235978042983,-1.6645022857948375e-17,1.413249238306545,5.539937014161656,0.7024341957925868,0.36750415635932276,0.33952895568760033,0.46982243594650325,2.6632036572717397e-18,1.0,-2.6632036572717397e-18,1.0,1.475546875,11,011.csv,011.csv
原始波形,0.6199288376544672,0.27504357552372977,0.2315939306235117,0.04339843750000005,1.380431117416033,0.08491759655629044,-2.0806278572435466e-17,1.4277095510918905,5.59662144028021,0.6897339314237465,0.4397581549084726,0.25250478378969066,0.4606656233739699,-6.6580091431793495e-18,1.0,0.0,1.0,1.38875,12,012.csv,012.csv
帶通,0.6175981665882356,0.25495714865423447,0.23030452019708858,0.04339843750000005,1.3851236292788551,0.07970309286681168,-5.992208228861415e-18,1.447334653315286,5.673551840995921,0.696273935737793,0.439113449695261,0.2494842857439361,0.46162389039233004,3.3290045715896748e-18,1.0,0.0,1.0,1.38875,12,012.csv,012.csv
小波去噪,0.6207250565047352,0.2745252251775209,0.25503202947785053,0.3471875,1.444721931862565,0.15376395383568667,9.987013714769025e-18,1.4210923986176744,5.570682202581284,0.6903289455356119,0.1430453851850786,0.281404214593792,0.3715928484381608,-5.3264073145434795e-18,1.0,0.0,1.0,1.38875,12,012.csv,012.csv
NLMS,0.623133459436347,0.2673563735814609,0.21270605622035482,0.04339843750000005,1.4282746508844597,0.08785894608887512,2.6632036572717397e-18,1.4013392952080874,5.493250037215702,0.6942668569311474,0.43031421770689415,0.2498369884146133,0.45813935435088493,5.3264073145434795e-18,1.0,0.0,1.0,1.38875,12,012.csv,012.csv
帶通+小波,0.6170018743017764,0.2628097045583037,0.2482352746352846,0.04339843750000005,1.4062116679130656,0.09875825618831893,-3.029394160146604e-17,1.4524181440794466,5.6934791247914305,0.6929450368058481,0.448078826914359,0.25717464611425767,0.4660661699448216,6.658009143179349e-19,0.9999999999999999,0.0,1.0,1.38875,12,012.csv,012.csv
帶通+小波+NLMS,0.6232809385271232,0.27314452737665823,0.5285971493869924,0.17359375,1.4544926932172875,0.24262161220132797,-1.0652814629086959e-17,1.4001422944678366,5.488557794313919,0.6921318676803,0.35241602599048205,0.3250188885821044,0.4565222607509621,1.198441645772283e-17,1.0,0.0,1.0,1.38875,12,012.csv,012.csv
原始波形,0.6130785337276149,0.2540485732060911,0.2419043669734025,0.21699218749999982,1.392456071892811,0.1798741042754992,1.9308226515220113e-17,1.4865255323627333,5.827180086861914,0.6943663294256894,0.17804545217950593,0.2989273052396262,0.39044636228160723,-2.3303032001127723e-17,1.0,1.5979221943630438e-17,1.0000000000000002,1.4321484375,13,013.csv,013.csv
帶通,0.6144714939679257,0.2404043982452735,0.24444208863567812,0.21699218749999982,1.2831257363465953,0.18783120740787482,3.9948054859076094e-18,1.4742822674026415,5.779186488218355,0.7003906542104306,0.17931431301064374,0.31291361684012514,0.39753952802039977,-1.731082377226631e-17,1.0,1.5979221943630438e-17,1.0000000000000002,1.4321484375,13,013.csv,013.csv
小波去噪,0.6144675692514225,0.26202405853258204,0.23925876083236036,0.21699218749999982,1.7721151504608015,0.10370051981298994,1.6645022857948375e-17,1.474316553526192,5.779320889822673,0.691980039937831,0.17672264910898486,0.23221794770506507,0.3669735455839603,-2.6632036572717398e-17,0.9999999999999999,1.5979221943630438e-17,1.0000000000000002,1.4321484375,13,013.csv,013.csv
